"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Malpopulation","Malpopulation","","","",0,*,"","","","null {[]} {[]}
","Målpopulation","Supporting logical model generated from gloo4.xmi (source class: Målpopulation).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Malpopulation.jamforsMed","Malpopulation.jamforsMed","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Referenspopulation {[]} {[]}
","Source attribute: jämförs med","Source attribute: jämförs med","","","","","","","","","",,,,,"",,,,"Malpopulation.jamforsMed",0,1,"",""
"Malpopulation.tillhor","Malpopulation.tillhor","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Patient-2 {[]} {[]}
","Source attribute: tillhör","Source attribute: tillhör","","","","","","","","","",,,,,"",,,,"Malpopulation.tillhor",0,1,"",""
