"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Remissvarsmottagande-enhet-Organisation-inom-halso--och","Remissvarsmottagande-enhet-Organisation-inom-halso--och","","","",0,*,"","","","null {[]} {[]}
","Remissvarsmottagande enhet : Organisation (inom hälso- och sjukvård)","Den organisatoriska enhet som ett remissvar skickas till.

Är vanligtvis samma organisatoriska enhet som den remitterande enheten.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Remissvarsmottagande-enhet-Organisation-inom-halso--och.arMottagareAv","Remissvarsmottagande-enhet-Organisation-inom-halso--och.arMottagareAv","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Remissvar-Dokument-inom-halso--och-sjukvard {[]} {[]}
","Source attribute: är mottagare av","Source attribute: är mottagare av","","","","","","","","","",,,,,"",,,,"Remissvarsmottagande-enhet-Organisation-inom-halso--och.arMottagareAv",0,1,"",""
"Remissvarsmottagande-enhet-Organisation-inom-halso--och.arEn","Remissvarsmottagande-enhet-Organisation-inom-halso--och.arEn","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Organisatorisk-enhet-Organisation-inom-halso--och-sjukv {[]} {[]}
","Source attribute: är en","Source attribute: är en","","","","","","","","","",,,,,"",,,,"Remissvarsmottagande-enhet-Organisation-inom-halso--och.arEn",0,1,"",""
