"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Remitterande-enhet-Organisation-inom-halso--och-sjukvar","Remitterande-enhet-Organisation-inom-halso--och-sjukvar","","","",0,*,"","","","null {[]} {[]}
","Remitterande enhet : Organisation (inom hälso- och sjukvård)","Supporting logical model generated from gloo4.xmi (source class: Remitterande enhet : Organisation (inom hälso- och sjukvård)).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Remitterande-enhet-Organisation-inom-halso--och-sjukvar.tillhor","Remitterande-enhet-Organisation-inom-halso--och-sjukvar.tillhor","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Remittent-Halso--och-sjukvardspersonal {[]} {[]}
","Source attribute: tillhör","Source attribute: tillhör","","","","","","","","","",,,,,"",,,,"Remitterande-enhet-Organisation-inom-halso--och-sjukvar.tillhor",0,1,"",""
"Remitterande-enhet-Organisation-inom-halso--och-sjukvar.arEn","Remitterande-enhet-Organisation-inom-halso--och-sjukvar.arEn","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Organisatorisk-enhet-Organisation-inom-halso--och-sjukv {[]} {[]}
","Source attribute: är en","Source attribute: är en","","","","","","","","","",,,,,"",,,,"Remitterande-enhet-Organisation-inom-halso--och-sjukvar.arEn",0,1,"",""
