"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Ansvarig-enhet-Organisation-inom-halso--och-sjukvard","Ansvarig-enhet-Organisation-inom-halso--och-sjukvard","","","",0,*,"","","","null {[]} {[]}
","Ansvarig enhet : Organisation (inom hälso- och sjukvård)","Den enhet som ansvarar för innehållet i laboratoriesvaret.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.ansvararFor","Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.ansvararFor","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Remissvar-Dokument-inom-halso--och-sjukvard {[]} {[]}
","Source attribute: ansvarar för","Source attribute: ansvarar för","","","","","","","","","",,,,,"",,,,"Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.ansvararFor",0,1,"",""
"Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.arEn","Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.arEn","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Organisatorisk-enhet-Organisation-inom-halso--och-sjukv {[]} {[]}
","Source attribute: är en","Source attribute: är en","","","","","","","","","",,,,,"",,,,"Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.arEn",0,1,"",""
"Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.ansvararFor2","Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.ansvararFor2","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Laboratoriesvar-Dokument-inom-halso--och-sjukvard {[]} {[]}
","Source attribute: ansvarar för","Source attribute: ansvarar för","","","","","","","","","",,,,,"",,,,"Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.ansvararFor2",0,1,"",""
