"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Resistensbestamning-Aktivitet-inom-halso--och-sjukvard","Resistensbestamning-Aktivitet-inom-halso--och-sjukvard","","","",0,*,"","","","null {[]} {[]}
","Resistensbestämning : Aktivitet (inom hälso- och sjukvård)","Bestämning av påvisad mikroorganisms känslighet för relevanta antimikrobiella läkemedel.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Resistensbestamning-Aktivitet-inom-halso--och-sjukvard.faststaller","Resistensbestamning-Aktivitet-inom-halso--och-sjukvard.faststaller","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Resistens {[]} {[]}
","Source attribute: fastställer","Source attribute: fastställer","","","","","","","","","",,,,,"",,,,"Resistensbestamning-Aktivitet-inom-halso--och-sjukvard.faststaller",0,1,"",""
"Resistensbestamning-Aktivitet-inom-halso--och-sjukvard.kanUtforasPa","Resistensbestamning-Aktivitet-inom-halso--och-sjukvard.kanUtforasPa","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Mikroorganism {[]} {[]}
","Source attribute: kan utföras på","Source attribute: kan utföras på","","","","","","","","","",,,,,"",,,,"Resistensbestamning-Aktivitet-inom-halso--och-sjukvard.kanUtforasPa",0,1,"",""
