"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Ansvarig-enhet-Organisation-inom-halso--och-sjukvard","Ansvarig-enhet-Organisation-inom-halso--och-sjukvard","Ansvarig-enhet-Organisation-inom-halso--och-sjukvard","","","",0,*,"","","","null {[]} {[]}
","Ansvarig enhet : Organisation (inom hälso- och sjukvård)","Supporting logical model generated from gloo4.xmi (source class: Ansvarig enhet : Organisation (inom hälso- och sjukvård)).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Ansvarig-enhet-Organisation-inom-halso--och-sjukvard","Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.ansvararFor","Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.ansvararFor","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Remissvar-Dokument-inom-halso--och-sjukvard {[]} {[]}
","Source attribute: ansvarar för","Source attribute: ansvarar för","","","","","","","","","",,,,,"",,,,"Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.ansvararFor",0,1,"",""
"Ansvarig-enhet-Organisation-inom-halso--och-sjukvard","Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.arEn","Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.arEn","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Organisatorisk-enhet-Organisation-inom-halso--och-sjukv {[]} {[]}
","Source attribute: är en","Source attribute: är en","","","","","","","","","",,,,,"",,,,"Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.arEn",0,1,"",""
"Ansvarig-enhet-Organisation-inom-halso--och-sjukvard","Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.ansvararFor2","Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.ansvararFor2","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Laboratoriesvar-Dokument-inom-halso--och-sjukvard {[]} {[]}
","Source attribute: ansvarar för","Source attribute: ansvarar för","","","","","","","","","",,,,,"",,,,"Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.ansvararFor2",0,1,"",""
"BL","BL","BL","","","",0,*,"","","","","BL","Supporting logical model generated from gloo4.xmi (source class: BL).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"CV-CWE","CV-CWE","CV-CWE","","","",0,*,"","","","","CV CWE","Supporting logical model generated from gloo4.xmi (source class: CV CWE).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"CV","CV","CV","","","",0,*,"","","","","CV","Supporting logical model generated from gloo4.xmi (source class: CV).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Delsvar-Dokument-inom-halso--och-sjukvard","Delsvar-Dokument-inom-halso--och-sjukvard","Delsvar-Dokument-inom-halso--och-sjukvard","","","",0,*,"","","","null {[]} {[]}
","Delsvar : Dokument (inom hälso- och sjukvård)","Supporting logical model generated from gloo4.xmi (source class: Delsvar : Dokument (inom hälso- och sjukvård)).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Delsvar-Dokument-inom-halso--och-sjukvard","Delsvar-Dokument-inom-halso--och-sjukvard.arEtt","Delsvar-Dokument-inom-halso--och-sjukvard.arEtt","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Preliminarsvar-Dokument-inom-halso--och-sjukvard {[]} {[]}
","Source attribute: är ett","Source attribute: är ett","","","","","","","","","",,,,,"",,,,"Delsvar-Dokument-inom-halso--och-sjukvard.arEtt",0,1,"",""
"Delsvar-Dokument-inom-halso--och-sjukvard","Delsvar-Dokument-inom-halso--och-sjukvard.arEtt2","Delsvar-Dokument-inom-halso--och-sjukvard.arEtt2","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Remissvar-Dokument-inom-halso--och-sjukvard {[]} {[]}
","Source attribute: är ett","Source attribute: är ett","","","","","","","","","",,,,,"",,,,"Delsvar-Dokument-inom-halso--och-sjukvard.arEtt2",0,1,"",""
