"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Mikroorganism","Mikroorganism","","","",0,*,"","","","null {[]} {[]}
","Mikroorganism","Levande, nästan alltid encellig varelse som är så liten att den inte kan ses med blotta ögat.

Det finns fyra huvudgrupper: bakterier, svampar, virus och parasiter.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Mikroorganism.kanUtforasPa","Mikroorganism.kanUtforasPa","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Resistensbestamning-Aktivitet-inom-halso--och-sjukvard {[]} {[]}
","Source attribute: kan utföras på","Source attribute: kan utföras på","","","","","","","","","",,,,,"",,,,"Mikroorganism.kanUtforasPa",0,1,"",""
"Mikroorganism.kanVaraFyndAv","Mikroorganism.kanVaraFyndAv","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Laboratorieanalysresultat-Observerat-halsotillstand {[]} {[]}
","Source attribute: kan vara fynd av","Source attribute: kan vara fynd av","","","","","","","","","",,,,,"",,,,"Mikroorganism.kanVaraFyndAv",0,1,"",""
