"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Kontaktinformation","Kontaktinformation","","","",0,*,"","","","null {[]} {[]}
","Kontaktinformation","Klassen Kontaktinformation håller information om vart eller till vem vården kan vända sig vid frågor om laboratoriesvaret.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Kontaktinformation.text","Kontaktinformation.text","","","",1,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/ST {[]} {[]}
","Source attribute: text","Textuell beskrivning av kontaktinformation.  

Det kan t.ex. vara telefonnummer och öppettider till en kundtjänst, ett namn på en kontaktperson.","","","","","","","","","",,,,,"",,,,"Kontaktinformation.text",1,1,"",""
"Kontaktinformation.innehaller","Kontaktinformation.innehaller","","","",1,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Laboratoriesvar-Dokument {[]} {[]}
","Source attribute: innehåller","Source attribute: innehåller","","","","","","","","","",,,,,"",,,,"Kontaktinformation.innehaller",1,1,"",""
