"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Utforande-enhet-Organisation-inom-halso--och-sjukvard","Utforande-enhet-Organisation-inom-halso--och-sjukvard","","","",0,*,"","","","null {[]} {[]}
","Utförande enhet : Organisation (inom hälso- och sjukvård)","Den enhet som utför en enskild analys.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Utforande-enhet-Organisation-inom-halso--och-sjukvard.utfor","Utforande-enhet-Organisation-inom-halso--och-sjukvard.utfor","","","",0,1,"","","","http://example.org/fhir/gloo4/StructureDefinition/Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard {[]} {[]}
","Source attribute: utför","Source attribute: utför","","","","","","","","","",,,,,"",,,,"Utforande-enhet-Organisation-inom-halso--och-sjukvard.utfor",0,1,"",""
"Utforande-enhet-Organisation-inom-halso--och-sjukvard.arEn","Utforande-enhet-Organisation-inom-halso--och-sjukvard.arEn","","","",0,1,"","","","http://example.org/fhir/gloo4/StructureDefinition/Organisatorisk-enhet-Organisation-inom-halso--och-sjukv {[]} {[]}
","Source attribute: är en","Source attribute: är en","","","","","","","","","",,,,,"",,,,"Utforande-enhet-Organisation-inom-halso--och-sjukvard.arEn",0,1,"",""
"Utforande-enhet-Organisation-inom-halso--och-sjukvard.skriver","Utforande-enhet-Organisation-inom-halso--och-sjukvard.skriver","","","",0,1,"","","","http://example.org/fhir/gloo4/StructureDefinition/Laboratoriesvar-Dokument-inom-halso--och-sjukvard {[]} {[]}
","Source attribute: skriver","Source attribute: skriver","","","","","","","","","",,,,,"",,,,"Utforande-enhet-Organisation-inom-halso--och-sjukvard.skriver",0,1,"",""
