"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Referenspopulation","Referenspopulation","","","",0,*,"","","","null {[]} {[]}
","Referenspopulation","Den grupp man jämför med målpopulationen.

Referenspopulationen måste stämma överens med målpopulationen i fråga om ålder, kön och sådana saker som spelar roll i sammanhanget.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Referenspopulation.liggerTillGrundFor","Referenspopulation.liggerTillGrundFor","","","",0,1,"","","","http://example.org/fhir/gloo4/StructureDefinition/Referensintervall {[]} {[]}
","Source attribute: ligger till grund för","Source attribute: ligger till grund för","","","","","","","","","",,,,,"",,,,"Referenspopulation.liggerTillGrundFor",0,1,"",""
"Referenspopulation.jamforsMed","Referenspopulation.jamforsMed","","","",0,1,"","","","http://example.org/fhir/gloo4/StructureDefinition/Malpopulation {[]} {[]}
","Source attribute: jämförs med","Source attribute: jämförs med","","","","","","","","","",,,,,"",,,,"Referenspopulation.jamforsMed",0,1,"",""
