"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Patient","Patient","","","",0,*,"","","","null {[]} {[]}
",": Patient","Supporting logical model generated from gloo4.xmi (source class: : Patient).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Patient.tillhor","Patient.tillhor","","","",0,1,"","","","http://example.org/fhir/gloo4/StructureDefinition/Malpopulation {[]} {[]}
","Source attribute: tillhör","Source attribute: tillhör","","","","","","","","","",,,,,"",,,,"Patient.tillhor",0,1,"",""
"Patient.avser","Patient.avser","","","",0,1,"","","","http://example.org/fhir/gloo4/StructureDefinition/Remiss-Dokument-inom-halso--och-sjukvard {[]} {[]}
","Source attribute: avser","Source attribute: avser","","","","","","","","","",,,,,"",,,,"Patient.avser",0,1,"",""
