"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Patient-Patient","Patient-Patient","","","",0,*,"","","","null {[]} {[]}
","Patient : Patient","Klassen Patient håller information om en person som erhåller eller är registrerad för att erhålla hälso- och sjukvård.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Patient-Patient.-id","Patient-Patient._id","","","",0,1,"","","","http://example.org/fhir/gloo4/StructureDefinition/II {[]} {[]}
","Source attribute: id; renamed from reserved FSH name 'id'","Angivelse av identitetsbeteckning för patient.

Detta kan vara av typen personnummer, samordningsnummer eller reservnummer.","","","","","","","","","",,,,,"",,,,"Patient-Patient._id",0,1,"",""
"Patient-Patient.avser","Patient-Patient.avser","","","",0,*,"","","","http://example.org/fhir/gloo4/StructureDefinition/Laboratoriesvar-Dokument {[]} {[]}
","Source attribute: avser","Source attribute: avser","","","","","","","","","",,,,,"",,,,"Patient-Patient.avser",0,*,"",""
"Patient-Patient.antarRollen","Patient-Patient.antarRollen","","","",1,1,"","","","http://example.org/fhir/gloo4/StructureDefinition/Person-Person {[]} {[]}
","Source attribute: antar rollen","Source attribute: antar rollen","","","","","","","","","",,,,,"",,,,"Patient-Patient.antarRollen",1,1,"",""
